# Mass           Radius         Fe/Mg          Si/Mg          wt%+h2o        Bulk density   core_wt%       core_rad%      
2.70000       1.33883       0.50000       0.50000       0.00000       6202.97034    0.28414       0.48466   
2.70000       1.34283       0.50000       0.60000       0.00000       6147.58983    0.26777       0.47395   
2.70000       1.34641       0.50000       0.70000       0.00000       6098.72112    0.25318       0.46415   
2.70000       1.34962       0.50000       0.80000       0.00000       6055.27525    0.24010       0.45514   
2.70000       1.35253       0.50000       0.90000       0.00000       6016.38838    0.22830       0.44680   
2.70000       1.35726       0.50000       1.00000       0.00000       5953.63211    0.21761       0.43839   
2.70000       1.35770       0.50000       1.10000       0.00000       5947.86903    0.20788       0.43179   
2.70000       1.36003       0.50000       1.20000       0.00000       5917.29022    0.19898       0.42500   
2.70000       1.36219       0.50000       1.30000       0.00000       5889.25672    0.19081       0.41862   
2.70000       1.36418       0.50000       1.40000       0.00000       5863.48155    0.18328       0.41262   
2.70000       1.36603       0.50000       1.50000       0.00000       5839.71084    0.17633       0.40695   
2.70000       1.36775       0.50000       1.60000       0.00000       5817.71795    0.16988       0.40159   
2.70000       1.36935       0.50000       1.70000       0.00000       5797.36346    0.16389       0.39651   
2.70000       1.37083       0.50000       1.80000       0.00000       5778.61198    0.15831       0.39168   
2.70000       1.37222       0.50000       1.90000       0.00000       5761.02710    0.15309       0.38708   
2.70000       1.32535       0.60000       0.50000       0.00000       6394.13675    0.32263       0.51018   
2.70000       1.32991       0.60000       0.60000       0.00000       6328.60232    0.30499       0.49914   
2.70000       1.33400       0.60000       0.70000       0.00000       6270.57042    0.28917       0.48903   
2.70000       1.33769       0.60000       0.80000       0.00000       6218.82232    0.27492       0.47971   
2.70000       1.34103       0.60000       0.90000       0.00000       6172.38538    0.26200       0.47108   
2.70000       1.34613       0.60000       1.00000       0.00000       6102.60323    0.25024       0.46236   
2.70000       1.34701       0.60000       1.10000       0.00000       6090.60936    0.23950       0.45552   
2.70000       1.34970       0.60000       1.20000       0.00000       6054.18394    0.22963       0.44846   
2.70000       1.35220       0.60000       1.30000       0.00000       6020.76405    0.22055       0.44183   
2.70000       1.35451       0.60000       1.40000       0.00000       5990.00577    0.21216       0.43558   
2.70000       1.35666       0.60000       1.50000       0.00000       5961.60163    0.20438       0.42968   
2.70000       1.35866       0.60000       1.60000       0.00000       5935.30230    0.19716       0.42409   
2.70000       1.36052       0.60000       1.70000       0.00000       5910.94668    0.19043       0.41879   
2.70000       1.36225       0.60000       1.80000       0.00000       5888.43084    0.18414       0.41376   
2.70000       1.36388       0.60000       1.90000       0.00000       5867.33074    0.17825       0.40896   
2.70000       1.31312       0.70000       0.50000       0.00000       6574.48047    0.35720       0.53230   
2.70000       1.31812       0.70000       0.60000       0.00000       6499.96028    0.33861       0.52103   
2.70000       1.32262       0.70000       0.70000       0.00000       6433.76426    0.32186       0.51068   
2.70000       1.32670       0.70000       0.80000       0.00000       6374.56500    0.30668       0.50112   
2.70000       1.33042       0.70000       0.90000       0.00000       6321.30348    0.29288       0.49226   
2.70000       1.33580       0.70000       1.00000       0.00000       6245.25234    0.28026       0.48330   
2.70000       1.33707       0.70000       1.10000       0.00000       6227.46099    0.26869       0.47625   
2.70000       1.34007       0.70000       1.20000       0.00000       6185.68593    0.25803       0.46899   
2.70000       1.34286       0.70000       1.30000       0.00000       6147.29894    0.24819       0.46215   
2.70000       1.34544       0.70000       1.40000       0.00000       6111.93175    0.23907       0.45570   
2.70000       1.34785       0.70000       1.50000       0.00000       6079.24914    0.23059       0.44961   
