# Mass           Radius         Fe/Mg          Si/Mg          wt%+h2o        Bulk density   core_wt%       core_rad%      
2.60000       1.32531       0.50000       0.50000       0.00000       6157.80764    0.28414       0.48508   
2.60000       1.32925       0.50000       0.60000       0.00000       6103.25977    0.26777       0.47437   
2.60000       1.33276       0.50000       0.70000       0.00000       6055.12586    0.25318       0.46457   
2.60000       1.33592       0.50000       0.80000       0.00000       6012.33082    0.24010       0.45555   
2.60000       1.33877       0.50000       0.90000       0.00000       5974.03140    0.22830       0.44721   
2.60000       1.34347       0.50000       1.00000       0.00000       5911.52999    0.21761       0.43878   
2.60000       1.34385       0.50000       1.10000       0.00000       5906.49393    0.20788       0.43220   
2.60000       1.34614       0.50000       1.20000       0.00000       5876.34594    0.19898       0.42540   
2.60000       1.34826       0.50000       1.30000       0.00000       5848.69702    0.19081       0.41902   
2.60000       1.35022       0.50000       1.40000       0.00000       5823.28621    0.18328       0.41301   
2.60000       1.35204       0.50000       1.50000       0.00000       5799.84836    0.17633       0.40734   
2.60000       1.35373       0.50000       1.60000       0.00000       5778.15931    0.16988       0.40197   
2.60000       1.35530       0.50000       1.70000       0.00000       5758.10657    0.16389       0.39689   
2.60000       1.35675       0.50000       1.80000       0.00000       5739.61543    0.15831       0.39206   
2.60000       1.35812       0.50000       1.90000       0.00000       5722.28017    0.15309       0.38746   
2.60000       1.31199       0.60000       0.50000       0.00000       6347.34135    0.32263       0.51062   
2.60000       1.31647       0.60000       0.60000       0.00000       6282.71813    0.30499       0.49958   
2.60000       1.32049       0.60000       0.70000       0.00000       6225.49182    0.28917       0.48946   
2.60000       1.32412       0.60000       0.80000       0.00000       6174.46129    0.27492       0.48014   
2.60000       1.32741       0.60000       0.90000       0.00000       6128.67037    0.26200       0.47151   
2.60000       1.33246       0.60000       1.00000       0.00000       6059.28987    0.25024       0.46278   
2.60000       1.33329       0.60000       1.10000       0.00000       6047.99040    0.23950       0.45594   
2.60000       1.33594       0.60000       1.20000       0.00000       6012.04096    0.22963       0.44888   
2.60000       1.33839       0.60000       1.30000       0.00000       5979.05132    0.22055       0.44224   
2.60000       1.34066       0.60000       1.40000       0.00000       5948.69077    0.21216       0.43599   
2.60000       1.34278       0.60000       1.50000       0.00000       5920.66606    0.20438       0.43009   
2.60000       1.34474       0.60000       1.60000       0.00000       5894.71145    0.19716       0.42450   
2.60000       1.34658       0.60000       1.70000       0.00000       5870.68907    0.19043       0.41919   
2.60000       1.34828       0.60000       1.80000       0.00000       5848.46702    0.18414       0.41416   
2.60000       1.34988       0.60000       1.90000       0.00000       5827.65835    0.17825       0.40935   
2.60000       1.29990       0.70000       0.50000       0.00000       6526.14263    0.35720       0.53276   
2.60000       1.30481       0.70000       0.60000       0.00000       6452.60771    0.33861       0.52148   
2.60000       1.30925       0.70000       0.70000       0.00000       6387.28025    0.32186       0.51113   
2.60000       1.31326       0.70000       0.80000       0.00000       6328.85603    0.30668       0.50157   
2.60000       1.31692       0.70000       0.90000       0.00000       6276.29397    0.29288       0.49270   
2.60000       1.32224       0.70000       1.00000       0.00000       6200.77982    0.28026       0.48374   
2.60000       1.32346       0.70000       1.10000       0.00000       6183.65323    0.26869       0.47669   
2.60000       1.32642       0.70000       1.20000       0.00000       6142.38791    0.25803       0.46942   
2.60000       1.32916       0.70000       1.30000       0.00000       6104.48087    0.24819       0.46258   
2.60000       1.33171       0.70000       1.40000       0.00000       6069.55358    0.23907       0.45613   
2.60000       1.33407       0.70000       1.50000       0.00000       6037.27644    0.23059       0.45004   
2.60000       1.33629       0.70000       1.60000       0.00000       6007.35157    0.22270       0.44426   
2.60000       1.33835       0.70000       1.70000       0.00000       5979.62333    0.21533       0.43878   
2.60000       1.34027       0.70000       1.80000       0.00000       5953.92440    0.20843       0.43357   
2.60000       1.34208       0.70000       1.90000       0.00000       5929.84243    0.20196       0.42860   
2.60000       1.28886       0.80000       0.50000       0.00000       6695.19739    0.38841       0.55229   
2.60000       1.29413       0.80000       0.60000       0.00000       6613.75599    0.36912       0.54083   
2.60000       1.29890       0.80000       0.70000       0.00000       6541.19139    0.35167       0.53030   
2.60000       1.30323       0.80000       0.80000       0.00000       6476.11760    0.33578       0.52056   
2.60000       1.30719       0.80000       0.90000       0.00000       6417.43282    0.32128       0.51151   
2.60000       1.31277       0.80000       1.00000       0.00000       6336.07437    0.30797       0.50235   
