#       	100%fe	95%fe 	90%fe 	85%fe 	80%fe 	75%fe 	70%fe 	65%fe 	60%fe 	55%fe 	50%fe 	45%fe 	40%fe 	35%fe 	30%fe 	25%fe 	20%fe 	15%fe 	10%fe 	5%fe  	rocky 	5%h2o 	10%h2o	15%h2o	20%h2o	25%h2o	30%h2o	35%h2o	40%h2o	45%h2o	50%h2o	55%h2o	60%h2o	65%h2o	70%h2o	75%h2o	80%h2o	85%h2o	90%h2o	95%h2o	100%h2o	cold_h2/he	max_coll_strip
#Mearth 	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth	Rearth 	Rearth    	Rearth        
0.0625 	0.3571	0.3654	0.3722	0.3788	0.3852	0.3915	0.3977	0.4036	0.4093	0.4147	0.42  	0.4252	0.4304	0.4356	0.4405	0.4451	0.4498	0.4544	0.4589	0.4634	0.4678	0.4826	0.4943	0.5053	0.5158	0.526 	0.5351	0.5435	0.5512	0.5588	0.5661	0.5733	0.5803	0.5872	0.5939	0.6005	0.6068	0.613 	0.6196	0.6257	0.6322 	1.1972    	              
0.06699	0.3651	0.3735	0.3804	0.3872	0.3938	0.4003	0.4065	0.4126	0.4183	0.4242	0.4297	0.4349	0.4401	0.4454	0.4503	0.4551	0.4598	0.4645	0.4691	0.4737	0.4782	0.4932	0.5052	0.5165	0.5272	0.5377	0.5466	0.5551	0.5629	0.5707	0.5782	0.5854	0.5925	0.5996	0.6064	0.6131	0.6196	0.6259	0.6324	0.6387	0.6454 	1.224     	              
0.07179	0.3733	0.3819	0.389 	0.3959	0.4027	0.4093	0.4156	0.4218	0.4276	0.4338	0.4394	0.4448	0.4502	0.4553	0.4603	0.4653	0.47  	0.4748	0.4795	0.4841	0.4888	0.5041	0.5164	0.5279	0.5389	0.5495	0.5583	0.5667	0.5749	0.5828	0.5904	0.5979	0.6051	0.6121	0.6191	0.626 	0.6327	0.6392	0.6454	0.6522	0.6588 	1.252     	              
0.07695	0.3818	0.3905	0.3978	0.4049	0.4118	0.4186	0.425 	0.4312	0.4372	0.4435	0.4493	0.4548	0.4603	0.4654	0.4705	0.4755	0.4804	0.4852	0.4901	0.4947	0.4996	0.5151	0.5277	0.5395	0.5508	0.5613	0.5702	0.5787	0.587 	0.595 	0.6029	0.6105	0.6179	0.6251	0.6321	0.639 	0.6459	0.6526	0.6589	0.6656	0.6724 	1.281     	              
0.08247	0.3903	0.3992	0.4066	0.4139	0.4211	0.4281	0.4346	0.441 	0.4472	0.4534	0.4593	0.4649	0.4705	0.4757	0.4808	0.4859	0.491 	0.4959	0.5008	0.5056	0.5105	0.5263	0.5392	0.5513	0.5629	0.5733	0.5823	0.591 	0.5994	0.6076	0.6155	0.6233	0.6308	0.6382	0.6454	0.6524	0.6594	0.6662	0.6729	0.6793	0.6863 	1.31      	              
0.08839	0.3989	0.408 	0.4156	0.4232	0.4305	0.4376	0.4444	0.4509	0.4573	0.4635	0.4695	0.4751	0.4808	0.4862	0.4914	0.4966	0.5017	0.5068	0.5117	0.5168	0.5216	0.5377	0.5509	0.5632	0.5752	0.5853	0.5945	0.6034	0.6121	0.6204	0.6285	0.6363	0.644 	0.6515	0.6589	0.6661	0.6731	0.6801	0.687 	0.6934	0.7006 	1.339     	              
0.09473	0.4077	0.4169	0.4248	0.4325	0.4401	0.4474	0.4543	0.461 	0.4676	0.4738	0.4799	0.4856	0.4912	0.4968	0.5022	0.5075	0.5126	0.5179	0.5229	0.528 	0.533 	0.5494	0.5629	0.5756	0.5876	0.5975	0.6069	0.616 	0.6249	0.6334	0.6416	0.6497	0.6575	0.6651	0.6726	0.68  	0.6872	0.6942	0.7013	0.708 	0.7151 	1.369     	              
0.1015 	0.4167	0.4261	0.4342	0.4421	0.4499	0.4572	0.4643	0.4713	0.478 	0.4843	0.4905	0.4963	0.502 	0.5075	0.5131	0.5186	0.5238	0.529 	0.5343	0.5394	0.5446	0.5613	0.5751	0.5882	0.6001	0.6101	0.6197	0.629 	0.6379	0.6466	0.655 	0.6632	0.6712	0.679 	0.6866	0.6941	0.7015	0.7087	0.7159	0.7229	0.7299 	1.401     	              
0.1088 	0.4259	0.4355	0.4438	0.4519	0.4599	0.4674	0.4746	0.4817	0.4886	0.4949	0.5012	0.5071	0.513 	0.5187	0.5242	0.5298	0.5352	0.5404	0.5458	0.551 	0.5564	0.5734	0.5875	0.6009	0.6128	0.6229	0.6328	0.6422	0.6513	0.6601	0.6686	0.6769	0.6851	0.6931	0.7009	0.7085	0.7161	0.7235	0.7307	0.738 	0.745  	1.433     	              
0.1166 	0.4352	0.445 	0.4536	0.462 	0.4701	0.4777	0.4852	0.4924	0.4993	0.5057	0.512 	0.5181	0.5241	0.53  	0.5356	0.5412	0.5467	0.552 	0.5574	0.5627	0.5682	0.5856	0.6001	0.6138	0.6255	0.6359	0.646 	0.6556	0.6649	0.6739	0.6826	0.691 	0.6993	0.7074	0.7155	0.7233	0.7309	0.7385	0.746 	0.7533	0.7605 	1.465     	              
